review,rating,date,bank
"First, I had to disable Developer Options. Now also I have to turn off an Accessibility setting just to make this APK work. Is this a joke? 🤣",1,2026-07-11,CBE
"The app was great until the latest update, which now forces users to disable Accessibility Services. While I understand the security concerns and the reasoning behind this decision, it should be an opt-in choice or allow exceptions for trusted apps. Some users rely on accessibility-enabled applications for essential daily tasks, and this change can prevent those apps from working. Please consider a more inclusive approach that balances security with accessibility and gives users flexibility.",3,2026-07-11,CBE
tanku for your services,5,2026-07-11,CBE
good upp,1,2026-07-11,CBE
Best,5,2026-07-11,CBE
"I love CBE, go ahead",5,2026-07-11,CBE
Nice app,5,2026-07-11,CBE
smooth,4,2026-07-11,CBE
but always have to go to branches for update or something's it shkuld rjn smoothly if there is an update,5,2026-07-11,CBE
Its my number one app.,5,2026-07-11,CBE
good app keep it up,5,2026-07-11,CBE
Good App 💯,5,2026-07-11,CBE
excellent service,5,2026-07-10,CBE
modern,5,2026-07-10,CBE
i love it good job,5,2026-07-10,CBE
𝘪𝑐𝑎𝑛'𝘁 𝑎𝑐𝑐𝗲𝑐𝗲 𝘁𝙝𝗲 𝑎𝘱𝑙𝘪𝑐𝑎𝘁𝘪𝑜𝑛 𝘁𝑜 𝐮𝘱𝑑𝑎𝘁𝗲,5,2026-07-10,CBE
why it forces us to update the app many times?,1,2026-07-10,CBE
"After the recent update cbe app blocking me to access it says ''turnoff apps in Accessibility services'' apps like Norton Antivirus (premium), Bitwarden, and Applock i use these apps for many years from playstore. My phone is not rooted i haven't activate Developer options. And Google play certified. I have whitelisted cbe app from these apps also give acess to background process. My phone is fully secured to the latest android firmware as well as security update! Please fix this issue?",1,2026-07-10,CBE
ኤሄንን አፕ ኢባካቹ አዉርዱልኝ,5,2026-07-10,CBE
week app💀💀💀,1,2026-07-10,CBE
woow,4,2026-07-10,CBE
bast app,5,2026-07-10,CBE
nice app keep updating,5,2026-07-10,CBE
maal apdate godha ooltan sila abboo hifanne,2,2026-07-10,CBE
very useful App,5,2026-07-10,CBE
good apps,5,2026-07-10,CBE
Enjoy with CBE,5,2026-07-10,CBE
wooow cbe app is fast and secure,5,2026-07-10,CBE
"this App is trash ,very week in every parameters",1,2026-07-10,CBE
though update is necessary it shouldnot be mandatory becuase in a rush time there should be a choice to do it later,5,2026-07-10,CBE
good gja a,5,2026-07-10,CBE
great 👍,5,2026-07-10,CBE
best apdet,5,2026-07-10,CBE
love the new look of the app and how it is laid out,5,2026-07-10,CBE
how to use these app these is locked immediately the screen,5,2026-07-10,CBE
በጣም ቆንጆ ፍጥነታችሁ ልዩ ነው,4,2026-07-10,CBE
I like it very much. It is the best system,5,2026-07-10,CBE
it is too slow,2,2026-07-10,CBE
Please on these AI time; Update your app,3,2026-07-10,CBE
it's Good,5,2026-07-10,CBE
i like it,5,2026-07-10,CBE
now the app is working.,4,2026-07-10,CBE
Tele birr is better,1,2026-07-10,CBE
it is good,5,2026-07-10,CBE
no access to get out from the sites,3,2026-07-10,CBE
keep it up,5,2026-07-10,CBE
በጣም ፀዴ ሆኗል ....አይወልድም እንጂ,5,2026-07-10,CBE
nice app,5,2026-07-10,CBE
Great to see more secured,4,2026-07-10,CBE
ለአጠቃቀም በጣም ምቹ ነው!!,5,2026-07-10,CBE
This updated version is a bad thing. Please modify.,1,2026-07-10,CBE
beyuti full,5,2026-07-10,CBE
Smart,5,2026-07-10,CBE
Baaye gaari,5,2026-07-10,CBE
annoying,1,2026-07-10,CBE
Some what good app,1,2026-07-10,CBE
ለምን በየቀኑ አፕዴት ታስደርጉኝ ግን?,1,2026-07-10,CBE
okay,5,2026-07-10,CBE
best but not working without internet😒,5,2026-07-10,CBE
i love this app,5,2026-07-10,CBE
"I like this banking app but you have too much updates without that much significant improvement. my issue with updating is, it erase all the account numbers that we made transaction with.!",4,2026-07-10,CBE
"😦😦😦😦😦What amazing improvement,Great application for me,So I would like to rate with 5 solid stars.B/c I have seen attractive services provided and you fixed all issues. GOD Bless you,Keep it up!!!!!!🎖🎖🎖🎖🎖",5,2026-07-10,CBE
እንደ ሲቢኢ ተጠቃሚነቴ አፕልኬሽኑ ሀፕዴት ስናደርገው ሁሌ የሆነ ችግር አናጣበትም ቆይ ግን ብራችን ቢበላ ማነው ተጠያቂው?,3,2026-07-10,CBE
best new,5,2026-07-10,CBE
A great app utility,5,2026-07-10,CBE
the best transaction app 👌👌,5,2026-07-10,CBE
"The previous app was nice, it is too slow and complicated.",2,2026-07-10,CBE
It is best.,5,2026-07-10,CBE
good jop for any,5,2026-07-10,CBE
መጠይቁ በኣማርኛ ቢሆን,5,2026-07-10,CBE
1.CBE እምነት አልባ 2.CBE እምነት አልባ 3.CBE እምነት አልባ 100%ግልፅ የሆነ መፍትሔ የሌለው። ስራ ደንበኞች መሰቃየት ነዉ,1,2026-07-10,CBE
This apps makes life easy,5,2026-07-10,CBE
almost weekly say update update app what a shitest bank 😡,1,2026-07-10,CBE
"The best mobile banking app in Ethiopia, probably world. Attractive UI and seamless UX!",5,2026-07-10,CBE
it's reliable app,5,2026-07-10,CBE
It keeps crashing,1,2026-07-10,CBE
አልሰራም አለኝ,4,2026-07-10,CBE
bad app.,1,2026-07-10,CBE
kind helps and efficient services,5,2026-07-10,CBE
Good experience,5,2026-07-10,CBE
"It's becoming a terrifying app. after update it closes repeatedly. Then I installed it again but it asked me passphrase. Nonsense. Then I have to go to branch. I would have been aressted, If not God protected me. Show me private bank, I am done.",2,2026-07-10,CBE
i got some small bugs like when u have money and it says '' your balance is insufficient '' kinda and '' time out '' while transferring,3,2026-07-10,CBE
this app is My first choice for work. and it is very good,5,2026-07-10,CBE
It is modern and user friendly app with incredible speed.,4,2026-07-10,CBE
nice 👍👍👍,5,2026-07-10,CBE
love the speed of transition in the new version,5,2026-07-10,CBE
Needs more updates,1,2026-07-10,CBE
There is a security alert due to suspicious accessibility service and i have been denied access to my account through this app,3,2026-07-10,CBE
very poorly developed,1,2026-07-10,CBE
I like the application,5,2026-07-10,CBE
nahh bad,3,2026-07-10,CBE
The UX journey is Bad after the update and when we try to send from an account having multiple merged accounts it randomly picks any of the list may be sometimes the one without sufficient money and make the experience annoying to refill to be sent info in the fields.,3,2026-07-10,CBE
Your services are well secured repayable and in agreement with the current digital era. Keep on doing so. 👍👍👍,5,2026-07-10,CBE
This app have interseted from other digital mobile banking.,3,2026-07-10,CBE
what's new? update daily???,5,2026-07-10,CBE
very smart,5,2026-07-10,CBE
አረ በደንበኛ ንጉስነት ስም ልበላችሁ ጭራሽ ኣፑ አዝግ ነው ኣይሰራም፡ እባካችሁ አዘምኑልን አሁን ተሻሽሏል አመስግናለሁ።,4,2026-07-10,CBE
Very good,4,2026-07-10,CBE
worthless,1,2026-07-10,CBE
"deserves two star,bulky and outdated appp",2,2026-07-10,CBE
Please try to set other way for weekly Update. it was boring ... takes time... for none Technology guys not Easy,4,2026-07-10,CBE
this app is very important and minimize the busyness of banks Accountant. thank you,1,2026-07-10,CBE
just wow,5,2026-07-10,CBE
the updated CBE mobile is unfunctional its say there security issues ..,1,2026-07-10,CBE
very good app,5,2026-07-10,CBE
good experience,5,2026-07-10,CBE
this is a huge bank in ethio but u cant even copup to the private one are much more better,1,2026-07-10,CBE
Simple and convenient app!,5,2026-07-10,CBE
Great App,5,2026-07-10,CBE
great approvment go ahead cbe 💪💪💪💪💪,5,2026-07-10,CBE
it's good service i am happy...,4,2026-07-10,CBE
"great app. include or embade calculator by either right or left of the ""amount"" bar of any transaction",5,2026-07-10,CBE
"The app doesn't allow confirmation before payments or transfers are made as to how much a transaction cost it involves ? The costs appear after the transaction is completed , why ?",4,2026-07-10,CBE
Nice 👍,5,2026-07-10,CBE
woow it the most interesting and interacting app.,4,2026-07-10,CBE
none sence,5,2026-07-10,CBE
amazing,5,2026-07-10,CBE
❤❤,4,2026-07-10,CBE
"the new update 6.0.7 requests the user to stop accessibility settings, this feature is required by other useful apps, it should show warnings and say accept the risk but not stop. Frequent changes are affecting the reliability of the app.",1,2026-07-10,CBE
tinish yazegal,2,2026-07-10,CBE
"bring back biometrics + pin why do you want to decrease the security,it's one thing I liked from previous new update",4,2026-07-10,CBE
good soluton,5,2026-07-10,CBE
I am grateful for your service.,5,2026-07-10,CBE
awsam,5,2026-07-09,CBE
We are tired of your unsettling regular updates that are unacceptable specially during an urgent situation.,1,2026-07-09,CBE
This application is very nice & very simple,5,2026-07-09,CBE
Excellent,5,2026-07-09,CBE
almost good app,4,2026-07-09,CBE
verry good,5,2026-07-09,CBE
I like it,5,2026-07-09,CBE
fast,5,2026-07-09,CBE
"The recent security update to the app is quite frustrating. The app now refuses to open and asks me to remove all apps that use accessibility services. It’s not clear what this means or why it’s required. Instead of completely blocking the app, it would be better to show a warning or caution about the security risk and let the user decide. This approach feels like poor design. Please consider making it less restrictive",1,2026-07-09,CBE
"After the latest update, I can no longer use biometric login. The app says, ''Sign in with your PIN first. Biometrics will be set up automatically,""* but there is no option to enter or create a PIN—the PIN field is blank. As a result, I can't sign in or enable biometrics. Please fix this issue as soon as possible",1,2026-07-09,CBE
The pin code insert menu field disappeared. I can't even login using a biometric as it asks to enter a pin.,3,2026-07-09,CBE
it's not working at all after the recent update????,1,2026-07-09,CBE
"Dear CBE After I've finally updated my CBE mobile banking application 2 days ago, it doesn't show me the pin area where to insert my pin instead only finger print is available.",1,2026-07-09,CBE
pest of pest mobile bank app,5,2026-07-09,CBE
"From my experience with the CBE mobile banking app, it seems the developers prioritize the app's GUI and visual appearance more than its security. Almost every new release introduces security issues that can potentially be exploited. For example, version 6.0.6 introduced fingerprint authentication for login, which is a great usability improvement. However, allowing fingerprint authentication to authorize money transfers could introduce an exploitable security risk.",2,2026-07-09,CBE
I HAVE ENCOUNTERED NEW SIGN IN ISSUE ON MY DEVICE PIN ENTERING BOX DISAPPEARED AND ONLY SHOWING FINGERPRINT ICON SHOWING,1,2026-07-09,CBE
After updated CBE app is not working !,1,2026-07-09,CBE
very good 😊,5,2026-07-09,CBE
previesly excelent!but now not good,1,2026-07-09,CBE
i like,5,2026-07-09,CBE
"CBE please, before you force an app update for the mass, first check it among yourself. The bank profit billions of birr and this is what you provide? The app difficult becames frequent and it seems the reflection of the internal workings of the bank!",1,2026-07-09,CBE
It is a slow app that doesn't work for all types of phones,1,2026-07-09,CBE
Afyer the new update I couldnt login to the app. it says first login with PIN but there is no option to insert a pin. Just a biometric options only,5,2026-07-09,CBE
"Not working after the update, it asks for the Pin code and not for the fingerprint but there is no place to write it!!! major bug",1,2026-07-09,CBE
i cant login,1,2026-07-09,CBE
You blocked our access to user other apps. The UI don't have the pin input field and it is forcing us to sign in using pin before biometrics. what a trash app.,1,2026-07-09,CBE
"Absolutely bad. Updating is necessary more often , but whenever they do everything go wrong. Why they don't test before they release the new updates ? what's wrong with you people ? when do you get understand this simple equation?",1,2026-07-09,CBE
"How is an app, THE APP for Banking released before testing? it says login with a pin to get biometrics... but there is no option to type in my pin. I am locked out!",1,2026-07-09,CBE
well the new updates are making the app unaccessible first it was the passphrase which they should have fix and make us waste out time now the login glitches specially the 2FA and biometrics,3,2026-07-09,CBE
the last version update is not working today,1,2026-07-09,CBE
"I can't log in after updated, why don't fix and update such troubles soon?",1,2026-07-09,CBE
Can't even login bc biometrics doesn't work,1,2026-07-09,CBE
"transaction history is not available by monthly, weekly only few days is available",4,2026-07-08,CBE
"after july update the app is not working , it ask for biometrics but doesn't let me use it , since my finger print password is on the side not on the middle of the screen, and it says use pin 1st to use biometrics but won't let me use the pin either after the new update",1,2026-07-08,CBE
"please don't update the latest version friends. It is so weird and annoying. @CBE , please check your app by QA department before you give us New update. Google play is not QA department 🤲🤲🤲",1,2026-07-08,CBE
Ok,5,2026-07-08,CBE
cbe,5,2026-07-08,CBE
"updated but it says ""sign in with your pin first.biometrics will be setup automaticlly"". but there is no login field in the screen",4,2026-07-08,CBE
this is so unbelievable after updating the app doesn't work properly first asks biometrics then when i give it turned into pin but there is no place to put pin how is this even possible? i can't access my account. Please tell me if there is a solution.,1,2026-07-08,CBE
Always sync failed,3,2026-07-08,CBE
"It is simple and brief to use this app, however, asking update repeatedly is discomforting.",5,2026-07-08,CBE
Each update totally ruins the app. couldn't transfer even login while you change some minor update. The app is totally unreliable.,1,2026-07-08,CBE
keeps changing all the time now the login is not working,1,2026-07-08,CBE
I will not update CBE app anytime. Before I see the facebook review and others experience. What kind of developers the company has?,1,2026-07-08,CBE
"I enable the accessibility settings for what i want and for what i need. Today, this CBE app asked me to remove that app. Remove the restriction now! Dont judge us on our phones...",1,2026-07-08,CBE
"CBE Mobile Banking is one of the best banking apps in Ethiopia. It's reliable, easy to use, and makes banking available anytime, anywhere. My only suggestion is to increase the daily transaction limit, ideally up to ETB 1,000,000 for eligible customers. That would make it even more convenient for business and high-value transactions. Great job, CBE!",4,2026-07-08,CBE
the new update lock the access of the account it ask use biometric after sign in however there no option to put the pin,1,2026-07-08,CBE
Your updated app is not accepting my biometric data. How can I solve this issue?,5,2026-07-08,CBE
በጣም ጥሩ ነው ምምምምምምምምምምምምምምምምምምምምም,5,2026-07-08,CBE
"I rated this app 1 star because of it's failure to properly login but a simple reinstalling fixed the problem. I thought I would have to visit nearest branch for reinitializing my reinstalled app but it just asked for phone number, previous PIN and passphrase and it opened without a hitch.",5,2026-07-08,CBE
I can not access the new update app.,1,2026-07-08,CBE
"The app is not working again, your updates are a disaster recently. I open the app and it tells me to enter my pin but there is no prompt area to write the pin.",2,2026-07-08,CBE
ቴሌ ብር ለመጠቀም የማስጥር ቁጥር ማግኘት አልቻልኩም,3,2026-07-08,CBE
maaloo maaf na irraa cuftan naaf bana fayyadama ture duran ammaa system naaf. hojjatu dide,5,2026-07-08,CBE
Signinwithyou PIN first. Biometrics willbesetup automatically. cbe app what porblim no work,5,2026-07-08,CBE
"after the new update I can't access my account, could you please solve this problem as soon as possible?",1,2026-07-08,CBE
the app is not open why the up date is not supported,1,2026-07-08,CBE
This update has no form to sign in to my account. You alwaws publish uncheckedapp updates.,1,2026-07-08,CBE
"The app displays only a fingerprint option to log in and will ask for PIN first where there is no option to enter the PIN. This happens on the new update released on July 2, 2026.",1,2026-07-08,CBE
u guys era beftrachu mnm yalhona app update eyargachu atablashut now I can't sign cuz there no place or option to enter a pin and when I want to enter with fingerprint it says first sign in with pin number didn't they pay u to work properly guys,1,2026-07-08,CBE
what kind of idiotic developer pushes an update without QA assurance. how are we supposed to sign in? with your new update?,1,2026-07-08,CBE
"After update, I am not able to login to the app. biometric icon is available and requesting to login with PIN but there is no way to provide it. please help us.",1,2026-07-08,CBE
የተሻለ አገልግሎት እንዲሰጥ መታሰቡ ጥሩ ነው ወደሲስተሙ ለመግባት እና ለመጠቀም ግን የይለፍ ቃል ማስገቢያ ቦታ አያመጣም የለውም,3,2026-07-08,CBE
Your Updates are really Boring instead of making it easier you gave us a headache by going to the branch evertime you update the app.,1,2026-07-07,CBE
sign in with your PIN first. biometrics will be set automatically. the new latest version says this and i cann't log into my account,1,2026-07-07,CBE
on updated version the app says it will automatically set biometric sign in using pin but there is no pin option,1,2026-07-07,CBE
not working login,3,2026-07-07,CBE
Very useful app that prepare by CBE.It is not doughtable.,5,2026-07-07,CBE
